StudentName,BirthDate,Email,Phone,City,State,ZipCode,Country,ClassName,ProfessorName,DepartmentName
Jose Jones,1989-06-03,kimberly70@roberts-sanchez.net,(501)544-4204x0106,Taylorfurt,New Mexico,80629,Netherlands,MUS439,Dr. Ivan Tate,Schmid
Sara Gomez,1983-02-12,chloemendez@coleman-kelly.com,+1-032-450-2305,East Rubenmouth,Florida,55512,Cyprus,CPSC496,Wyatt Davidson,Argyros
Stephanie Casey,1993-02-12,james81@cooper.com,001-407-443-3573x8200,West Nicholas,Michigan,45119,Slovenia,CPSC376,Michael Martin,CoPA
Sara Gilmore,1970-07-25,awilkerson@yahoo.com,419-151-1883x8210,New Amy,Illinois,36216,Paraguay,ECON458,Carl Taylor,CoPA
Alicia Chen,1983-12-07,smithstephen@harris-graham.com,(970)824-9014,Christineside,Pennsylvania,88648,Djibouti,ECON349,Karen Ballard,CoPA
Megan Gonzales,1981-01-21,mavila@krueger-dalton.com,+1-143-619-7810x03484,Chapmanhaven,Washington,23694,Pitcairn Islands,PSY126,Derek Young,Fowler
Jeffrey Austin,1974-04-13,jerrypayne@solis.com,9813067622,Port Brian,Tennessee,94487,Montenegro,ECON156,Shannon Woodward,Crean
Robert Stewart,1994-03-07,misty67@yahoo.com,(666)267-2930x484,Wyattland,Missouri,56405,Mozambique,PSY247,Alice Cruz,Schmid
Stefanie Mitchell,1986-12-21,smithmaria@luna.org,+1-314-823-0252x750,Thompsonshire,Pennsylvania,73649,Northern Mariana Islands,MUS146,Teresa Hobbs,Schmid
Timothy Henderson MD,1987-08-27,epark@gmail.com,1766350890,Parkstad,Colorado,00779,Guyana,PSY297,David Wong,Crean
